地區,村里碼,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,編碼,學歷,經歷,政見,unique
臺北市信義區大道里,26,謝美右,1,女,1964,無黨籍及未經政黨推薦,1361,0.4002000000000001,0,否,710002261,高中,曾任信義區中坡里第10屆里長。福德國小、瑠公國中愛心媽媽。參加信義區福德派出所義警。,一.爭取老人敬老津貼.結合地方宮廟資源.協助急難救助.關懷弱勢。二.提升公共安全與衛生.清理防火巷弄清潔及消毒。三.人心思變.社會亂象.建立里內治安守望據點.增加里內安全維護。四.每年舉辦大型團康及藝文活動。五.推動老舊房屋拉皮.里內電纜線整理及地下化.創造乾淨市容。六.嚴格監督廣慈公宅興建.爭取停車空間。七.定期舉辦敬老供餐.增加里民互動聯誼。,1
臺北市信義區大道里,26,毛水月,2,女,1966,無黨籍及未經政黨推薦,2039,0.5997,1,否,710002262,臺南縣善化國中、省立曾文農工、南台工專電子科畢業。,臺北市信義區大道社區發展協會理事長。永吉國小家長會副會長。瑠公國中家長會副會長。松山家商家長會常務委員。台北市高中家長聯合會代表。永吉國小瑠公國中志工。,一.關懷老幼及弱勢團體.定期訪視並為其爭取社福協助.推動長者共餐、身障、獨居長者送餐服務.二.改善里內環境.重視環保成立社區環保志工隊.定期舉辦資源回收獎勵活動.三.永保三通：水溝通暢.馬路通平.路燈通亮.四.經常舉辦里民聯誼活動.健康宣導及講座、技藝研習提昇藝術文化.五.積極爭取增設巷弄監視器.加強防火巷夜間照明.保障居民安全.六.成立社區守望相助隊.七.積極推動社區營造，建立優質、友善、安居的社區.,1
臺北市大安區和安里,3,張維真,1,女,1968,中國國民黨,1462,0.4215,0,否,710003031,臺北市私立延平高中補校畢業。,臺北市政府捷運工程局技工（文書處理）臺北市大安區和安里里長張正雄特別助理。,一、專職服務，一通電話就到。設立LINE＠群組隨時意見交流，謀求共識解決問題。二、爭取建設資源，均衡地方發展，建構警民聯防安全的生活空間，舒適整潔和樂安康的美好環境。三、協助老舊住宅進行都市更新。四、協同大樓管委會爭取市府經費補助，進行危險外牆整修。五、促請信義市場儘速完成整修，以便二樓設立區民活動中心。六、繼續協調師大附中，協助爭取預算退縮147巷圍牆，闢建人行道。七、謀求社會福利資源，妥善照顧弱勢里民。八、精心策劃睦鄰聯誼活動，促進家庭和樂，鄰居互動情誼。,1
臺北市大安區和安里,3,翁德東,2,男,1958,無黨籍及未經政黨推薦,2006,0.5784,1,否,710003032,臺南縣私立興國高級中學,華新彈簧床負責人哈佛大廈主任委員12年和安里鄰長2屆,參選主要政見：親切、用心、事務費回饋和安里。1.延續中元普渡（郵政新村）及聯歡摸彩活動。2.每年舉辦一次免費一日遊（5部車200人）聯繫里民感情。3.成立學童獎助學金，鼓勵社區學童。4.舉辦長者聯誼，長青學苑等活動班隊。5.居家關懷訪視，提供即時協助。6.方便里民，壹樓店面設置里辦公處，全天候服務。7.加強治安及環境整潔維護，密切與市府各單位聯繫，隨時反映里民需求及改善提高社區居住品質。8.與市立醫院配合，定期舉辦健康檢查及免費流感疫苗施打，為里民健康把關。,1
臺北市大安區光信里,52,蔡文富,1,男,1960,中國國民黨,1683,0.4284000000000001,0,否,710003521,臺灣省警察學校畢業,臺北市政府警察局大安分局副隊長光信里火聖廟福興宮委員雲林同鄉會大安分會臺北市警察退休協會,1.維持公共秩序，保護社會安全，防止一切危害，促進人民福利2.推廣社區發展協會關心老人活動娛樂3.環保、清掃巷弄水溝，實施消毒交通安全等4.美化公園，增設老人運動器具綠化平宅園圃推廣計畫5.各項活動辦理（自強活動園遊會）等用心熱忱務實6.守護兒童傾聽民意關懷弱勢7.全心全意奉獻地方盡心盡力服務里民,1
臺北市大安區光信里,52,楊珮菱,2,女,1948,無黨籍及未經政黨推薦,2245,0.5715,1,否,710003522,國立空中大學社會科學系畢業北商臺北市立女中（金華國中）,現任光信里鄰長。國立工藝館設計館志工。行天宮急難濟助志工。光復、仁愛、建中、志工及家長代表。喬美百貨事業經理人。大安區光信里延吉社區協會會員。,1.關懷送到家，免費提供里內獨居老人行動不便者愛心午餐。2.增進鄰里互動關係，開設里內兒童、青少年、婦女、銀髮族等各類有益身心靈健康的生活、藝術成長相關課程學習。提供里民兒童課後溫馨的免費照顧和輔導機制。3.加強里內治安維護，里鄰守望相助巡守，配合警政監控，有效打擊不法。4.增設整修里內公園綠地，里民老幼休閒運動器材設備，美化景觀設計以提昇幸福感和安居樂業的環境。5.不定期舉辦敦親睦鄰的旅遊參訪，鼓勵里民踴躍參與，共享樂趣和福利。6.成立馬上辦服務中心，提供協助解決里民大小需求問題和困境的服務，以促使里內事務更和諧繁榮和進步成長。7.持續改善維護里內清潔環境衛生理念，落實垃圾不落地措施。整治狹小巷弄障礙物，以恢復可行暢通。,1
臺北市中山區劍潭里,13,王迎珠,1,女,1954,無黨籍及未經政黨推薦,1151,0.6004,1,否,710004131,海軍子弟學校(永清國小)畢業海青中學畢業高雄女中畢業文化大學畢業,中和積穗國小、積穗國中志工大直國小補救教學志工95年臺北市傑出市民99年環保有功義工人員特優慈濟教聯會志工臺北市中山區健康服務中心志工啟明社區天使志工臺北市崇實健康促進協會常務監事臺北市崇實健康促進協會理事長圓山新城社區管理委員會委員臺北市中山區劍潭里辦公處志工中國國民黨劍潭區分部小組長臺北市政府社會局社工人員班結業臺北市政府社會局主管人員班結業,點點滴滴行公益打造劍潭里為首善、幸福之里政見：•協調爭取拓寬通北街145巷之環山八米道路，以利人車安全及交通順暢便利。•賡續辦理社區下水道疏清工作，以免社區受淹水之苦。•向市府爭取經費，做好118巷山坡聚落水土保持工作，以維住戶安全。•賡續爭取通北街31巷住戶行車安全，協調大地處銑鋪路面。•永續經營社區環境及綠美化工作，以提升社區優質生活環境品質。•永續辦理銀髮族社區照顧關懷據點，擴大服務，以達關懷照顧之使命。•持續推動社區兒童教育，如：夏令營、環境教育、讀經班…等課程，以利學校教育之接軌。•節慶日辦理大型人文、藝文等活動，展現各社團成果並聯絡友誼，凝聚力量。•辦理社區健康篩檢、健康促進…等活動•積極協調市府與軍方覓地合建住宅，安置山邊及散居住戶。•積極協調市府與軍方覓地興建社區停車場，供社區住戶停車。•爭取經費，改造社區公園，增加休閒空間，讓公園更美。,1
臺北市中山區劍潭里,13,黃宏武,2,男,1950,中國國民黨,766,0.3995,0,否,710004132,海軍子弟學校(永清國小)畢業海青中學畢業高雄女中畢業文化大學畢業,排長、連附、人事官、連絡官、副連長衛生管理師、安管、督察,照顧社區銀髮族日常生活(辦理書畫、插花、棋藝等研習社)。爭取復康巴士定點巡迴。成立社區巡守隊，確保社區安全。改善118巷山坡地水土保持以維住戶安全。美化社區環境(青山步道)兩旁種植櫻花、油桐花，社區內種植杜鵑等。照顧兒童，成立社區安親班。改善社區停車問題。設置社區通聯，里辦公室能掌握時效前往處理。將社區發展協會辦公室移入里辦公室，共同服務社區。賡續辦理定點供餐。,1
臺北市中山區朱園里,36,孫志忠,1,男,1978,無黨籍及未經政黨推薦,1060,0.4616,0,否,710004361,高職畢業,台北市北投區體育會總幹事。台北市體育總會理事。世界跆拳道總部國際七段，國際裁判，國際教官，國際晉段官。中華民國國家級運動教練。2016年亞洲跆拳道錦標賽中華台北-帶隊教練-榮獲團體銅牌。2017年亞洲青少年跆拳道中華台北-帶隊教練-榮獲團體金牌。文化大學在學,一、延續上屆孫合興里長未完成的政見，薪火相傳延續服務。二、建國啤酒廠土地開發規畫，多元化國際啤酒文化園區及商圈，提供里民綠地休閒空間，供里民使用。三、爭取啤酒廠土地開發及設備、休閒集會場所。四、爭取啤酒廠土地開發闢建多功能圖書館。五、爭取改造渭水路3D夢幻人行道。六、爭取渭水路3巷拓寬為15米道路，成為模範巷道。七、監督朱園里活動中心及圖書館完成(含軟硬體設備)為聚會場所。八、配合臺北市政府推動長照計畫爭取福利。九、改建以藝術休閒為主題的伊通公園，塑造伊通街藝術文化走廊。十、朱園里巷道路面、水溝補修工程，讓朱園里社區為模範社區。十一、協助低中收入戶及其他福利補申請。十二、推動全民社區運動。,1
臺北市中山區朱園里,36,李林耀,2,男,1955,無黨籍及未經政黨推薦,1236,0.5383,1,否,710004362,臺北市私立泰北高級中學畢業,前光華社區促進會拆除光華橋專案執行長前泰北中學校友會第1-2屆總幹事現臺北市民權益關懷協會常務理事現臺北市中山區朱園社區發展協會理事現材茂行負責人專精消防業務,選里長相挺→正直/熱忱/專業李林耀→廣邀熱心公益里民共創→幸福朱園里壹、設立「里民參與社區發展事務會』就以下政見之督促、招募、管理、執行、評議，建議。一、『攸關社區繁榮』「建國啤酒廠」變更專用特定區案，都委會審議通過，營建署備核中。〈一〉督促提出開發時程•同時關切〈1〉渭水路3巷，應拓寬至15公尺以上。〈2〉現有辦公大樓將歸市政府，擬爭取1層樓，作為永久里民活動中心，目前設置於消防松江分隊地下1樓之里民活動中心，僅約40坪，歸給該分隊為交換。〈二〉『敦親睦鄰』協調閒置場地作活化，無償暫供作為里民活動中心，作本里身心障礙者及日間獨居長輩，交誼及辦理共餐。里民大會。及其他公益項目使用。二、『守望相助』設「安全/治安/環保志工團」，宣導：火災預防，消防安全設備功能及使用。詐騙電話防制。防搶防騷擾：巡守里轄，擬設「無線遙控緊急鳴響報知器」。環境整理。三、『里建設補助經費、相關回饋金』專用社區建設及里民，使用報表，公告里轄公布欄。四、『關懷權益』里民疑難諮詢，及作義務協助，絕不敷衍了事。五、『關懷身心健康』緊臨里轄，建國高架橋下之環保局垃圾資源回收轉運站，環境不利周邊活化商業發展及觀瞻，擬建請遷移，原範圍改設置「里民運動場所」。,1
